email,firstName,lastName,dob,gender,roleName,cid,gpa
kenneth.carter21@proton.me,Kenneth,Carter,2004-04-12,FEMALE,ROLE_SECRETARY,ef715cf4-0510-4f31-91e0-c8d696a292f4,
richard.cook22@hotmail.com,Richard,Cook,1970-05-24,OTHER,ROLE_STUDENT,c1ce27bb-d668-4f45-bd50-1cbea4d6a5da,2.81
betty.smith23@email.com,Betty,Smith,1974-06-24,MALE,ROLE_STUDENT,5ab1107f-aaa8-425a-b16c-04fd87a5d3f2,2.08
brian.white24@outlook.com,Brian,White,1994-06-20,OTHER,ROLE_STUDENT,d36d80cc-1657-4a19-a288-b199260b1212,0.09
karen.sanchez25@gmail.com,Karen,Sanchez,1972-09-16,FEMALE,ROLE_SYSTEM_ADMIN,,
steven.phillips26@email.com,Steven,Phillips,1996-05-23,FEMALE,ROLE_STUDENT,0170d2e5-8f65-48df-912a-96076ad61489,2.25
john.jackson27@yahoo.com,John,Jackson,1977-06-20,MALE,ROLE_SYSTEM_ADMIN,,
john.morris28@yahoo.com,John,Morris,1983-07-15,FEMALE,ROLE_STUDENT,40523b8f-5df2-4794-8fa5-5cc4fb30277d,0.66
jeffrey.moore29@hotmail.com,Jeffrey,Moore,1995-05-07,FEMALE,ROLE_STUDENT,f50f3cfd-2d51-40c7-9153-63e23250f4b4,1.8
sarah.hill30@icloud.com,Sarah,Hill,1987-05-02,OTHER,ROLE_STUDENT,b0d7f425-1810-40be-8763-406eb5196905,1.84
joshua.parker31@proton.me,Joshua,Parker,1988-02-14,MALE,ROLE_STUDENT,c8d40081-aa6b-41ea-9328-5190b58cc4b1,0.86
emily.lewis32@proton.me,Emily,Lewis,1988-05-14,FEMALE,ROLE_STUDENT,acc04913-8434-48f7-9265-d6ffe6a82a9d,3.23
sandra.adams33@yahoo.com,Sandra,Adams,1998-10-14,MALE,ROLE_STUDENT,379cf308-5222-471e-99c7-8e5d3e6972f9,1.88
paul.lopez34@gmail.com,Paul,Lopez,1976-08-21,MALE,ROLE_SYSTEM_ADMIN,,
joseph.thomas35@gmail.com,Joseph,Thomas,1991-01-14,OTHER,ROLE_STUDENT,5c2af986-3acc-44dc-854f-39aa497b5bb3,1.18
ryan.perez36@yahoo.com,Ryan,Perez,1994-08-01,MALE,ROLE_STUDENT,582e3a88-3cd6-4c80-ad01-b14177c0613c,2.7
kevin.martin37@mail.com,Kevin,Martin,1988-11-27,FEMALE,ROLE_STUDENT,38b40ec3-4778-4f3b-9fcc-f5ad8017cb46,3.74
ronald.carter38@outlook.com,Ronald,Carter,1990-05-28,OTHER,ROLE_STUDENT,b972aed7-6223-4b60-a731-279fbfd8f939,3.8
ashley.king39@outlook.com,Ashley,King,1993-06-29,OTHER,ROLE_STUDENT,188df78f-dc3c-4034-8e8c-bf33a080afcc,3.78
kevin.nelson40@icloud.com,Kevin,Nelson,1991-09-13,OTHER,ROLE_STUDENT,1b6f3099-64a9-480c-9e8d-f7b7cdb4accc,0.55
charles.martin41@proton.me,Charles,Martin,1981-10-15,FEMALE,ROLE_SECRETARY,c37d4f00-8552-4bdc-8108-3d599da7290f,
james.parker42@yahoo.com,James,Parker,1986-06-16,FEMALE,ROLE_STUDENT,34a3c755-8d15-4371-b294-57b73caa56ff,1.05
kimberly.morris43@hotmail.com,Kimberly,Morris,1983-08-23,MALE,ROLE_INSTRUCTOR,cee22f89-58f8-48cb-b097-982af14dc272,
nancy.martin44@mail.com,Nancy,Martin,1995-08-09,OTHER,ROLE_STUDENT,7209ddfc-1999-4e9d-824c-072a09edb646,2.86
richard.perez45@hotmail.com,Richard,Perez,1972-02-01,MALE,ROLE_INSTRUCTOR,16a4d9db-1286-4053-9ac8-553ca66d71cc,
anthony.adams46@hotmail.com,Anthony,Adams,1993-12-08,MALE,ROLE_INSTRUCTOR,13699d10-8f78-452f-8d3a-85e07aedd539,
edward.anderson47@hotmail.com,Edward,Anderson,2002-11-05,OTHER,ROLE_INSTRUCTOR,9bbe2910-5570-42cc-9142-7bd8e23ec40f,
charles.thomas48@proton.me,Charles,Thomas,1993-03-15,MALE,ROLE_STUDENT,03f78777-09a3-42c5-a8c8-ad2c91e7fb5f,2.1
jacob.collins49@mail.com,Jacob,Collins,2002-03-06,MALE,ROLE_SECRETARY,e965e6fd-bca5-49f3-8b4f-6e3a589e7743,
susan.mitchell50@yahoo.com,Susan,Mitchell,2002-02-07,MALE,ROLE_INSTRUCTOR,19531683-5390-4640-9325-99edf62c7d1b,
ryan.lopez51@yahoo.com,Ryan,Lopez,1984-11-06,FEMALE,ROLE_STUDENT,76807bd3-ac34-4c01-a993-c28699b28a11,3.77
margaret.morris52@email.com,Margaret,Morris,1993-03-13,OTHER,ROLE_INSTRUCTOR,f6be327e-50cf-478c-a158-dbee8a3faa65,
timothy.collins53@outlook.com,Timothy,Collins,2002-05-04,FEMALE,ROLE_STUDENT,6d8d449a-2a62-458b-8f15-5c8a2918bcef,2.45
michael.jackson54@proton.me,Michael,Jackson,1970-08-28,OTHER,ROLE_STUDENT,d86048dc-b3d3-4e5f-ad9e-4772244bb019,0.88
george.garcia55@proton.me,George,Garcia,1982-06-20,OTHER,ROLE_SECRETARY,2e706c5f-9a6c-4505-b951-d29230ba3f0d,
elizabeth.thomas56@gmail.com,Elizabeth,Thomas,1984-07-28,MALE,ROLE_STUDENT,cb4261c7-b497-488d-9bd3-946744e3226c,1.11
karen.allen57@mail.com,Karen,Allen,2000-12-02,MALE,ROLE_STUDENT,e9198adc-d01b-4f5a-916c-7bb2e2a1fe94,1.14
lisa.brown58@yahoo.com,Lisa,Brown,1975-07-09,OTHER,ROLE_STUDENT,113257bb-81ab-4a56-9acc-70c6a8bd7946,0.27
ronald.moore59@outlook.com,Ronald,Moore,2000-04-16,OTHER,ROLE_STUDENT,0e830361-7592-43ad-a0c2-e8571fac1371,0.29
ryan.hernandez60@proton.me,Ryan,Hernandez,1990-01-17,OTHER,ROLE_STUDENT,edd42f45-1648-4de9-9beb-4223454abac4,1.54
george.smith61@proton.me,George,Smith,1995-03-10,OTHER,ROLE_STUDENT,2c589746-de4c-43ce-8b95-6bd3766fa84b,0.14
brian.johnson62@hotmail.com,Brian,Johnson,1973-06-11,FEMALE,ROLE_STUDENT,75d45283-8a7a-46f5-8ed1-3b67a0f89802,0.4
kenneth.hill63@icloud.com,Kenneth,Hill,1977-09-28,OTHER,ROLE_STUDENT,cbd85aef-8ed3-4fca-a034-04add7f061fe,3.83
steven.jones64@hotmail.com,Steven,Jones,1975-11-18,FEMALE,ROLE_STUDENT,93c05b9d-8d89-4b0a-b2cc-1686bf59db9e,2.26
donald.adams65@outlook.com,Donald,Adams,1971-04-22,MALE,ROLE_STUDENT,2936a7e0-366b-4c26-85db-a6a87d7990a1,2.67
betty.baker66@yahoo.com,Betty,Baker,1975-05-08,MALE,ROLE_STUDENT,d39d9ce4-e6e7-4a68-b8a8-02e6a4fbce74,0.57
donald.rogers67@email.com,Donald,Rogers,1974-06-14,MALE,ROLE_STUDENT,d6a68146-e13a-4f9a-b3f9-be11a1815cdc,3.83
barbara.lopez68@yahoo.com,Barbara,Lopez,1982-12-15,FEMALE,ROLE_SECRETARY,c5855a40-acd7-4151-9fab-def3e221d4b5,
jason.lopez69@gmail.com,Jason,Lopez,1988-12-05,FEMALE,ROLE_SECRETARY,3904b8ac-c8a4-4937-a000-6c38f8fd86e5,
susan.hernandez70@yahoo.com,Susan,Hernandez,1977-06-05,FEMALE,ROLE_SECRETARY,37c592ab-4e00-4aa0-b186-b5bbf8e7b200,
jacob.walker71@email.com,Jacob,Walker,1977-08-22,MALE,ROLE_INSTRUCTOR,1c3df97b-6720-484c-bc4a-f9293b996509,
emily.allen72@email.com,Emily,Allen,2000-07-11,OTHER,ROLE_STUDENT,8f38592b-bc77-42c6-8d57-9df75df92854,2.61
paul.baker73@mail.com,Paul,Baker,1981-06-10,MALE,ROLE_STUDENT,d79057ee-ebe5-481e-a3bf-4d21681198ae,1.95
susan.walker74@yahoo.com,Susan,Walker,1974-04-22,OTHER,ROLE_STUDENT,25ee7d40-2cee-4791-88cb-b9e25b207fcb,2.02
ryan.green75@mail.com,Ryan,Green,1980-07-27,OTHER,ROLE_STUDENT,43509704-ea1e-4cbd-9e7b-3e5334d1ad6a,0.34
sarah.baker76@email.com,Sarah,Baker,1979-02-14,FEMALE,ROLE_STUDENT,a665eb95-0d5f-4d06-a2b7-a5cc95204cd8,2.59
paul.parker77@mail.com,Paul,Parker,1985-01-21,FEMALE,ROLE_STUDENT,6703ad82-f7da-4dd9-b0cd-d78f1044e4ba,2.67
ashley.walker78@email.com,Ashley,Walker,1998-04-09,MALE,ROLE_STUDENT,001616b2-1112-4388-870d-5521953bab9a,1.0
donald.anderson79@email.com,Donald,Anderson,1971-10-20,FEMALE,ROLE_STUDENT,03cf1502-a930-4a16-b94f-6451f68343d5,2.75
joseph.taylor80@hotmail.com,Joseph,Taylor,1978-04-20,FEMALE,ROLE_STUDENT,e8627e4e-817b-46f7-a330-2e14595698fd,2.17
joshua.taylor81@outlook.com,Joshua,Taylor,1998-11-22,MALE,ROLE_INSTRUCTOR,4dbd3508-07af-4fa5-9d0a-7f8c7a7236c3,
steven.johnson82@mail.com,Steven,Johnson,1982-12-04,FEMALE,ROLE_STUDENT,dac5e109-6b57-4d40-82b5-75f775038415,1.85
ronald.mitchell83@proton.me,Ronald,Mitchell,1987-02-25,FEMALE,ROLE_SECRETARY,c11c0134-0efc-4a86-8c83-2eb3891d3546,
david.scott84@icloud.com,David,Scott,1988-05-21,MALE,ROLE_INSTRUCTOR,4032dd05-6210-43f8-b0f2-6b13f4baadb5,
karen.nelson85@icloud.com,Karen,Nelson,1976-12-28,FEMALE,ROLE_STUDENT,1ebb1893-eca6-4424-b50d-310e05e8f7ca,0.48
brian.nelson86@outlook.com,Brian,Nelson,1996-09-13,FEMALE,ROLE_INSTRUCTOR,927595a9-5466-4701-8cb9-a6ecb3270fca,
elizabeth.davis87@email.com,Elizabeth,Davis,1982-08-24,MALE,ROLE_STUDENT,c4ef2033-1885-41d9-9ab1-38c29f1367c4,1.8
james.scott88@hotmail.com,James,Scott,2002-05-01,FEMALE,ROLE_INSTRUCTOR,c77fc740-edfd-41c6-8fa8-64b1c81d609e,
robert.wright89@gmail.com,Robert,Wright,1986-02-13,OTHER,ROLE_STUDENT,86f0c313-dc41-4705-a869-665f536d01e8,3.94
jason.carter90@mail.com,Jason,Carter,1970-07-03,OTHER,ROLE_SECRETARY,3fb602a6-7184-42cf-86e5-3417fed405ba,
sandra.lewis91@outlook.com,Sandra,Lewis,1985-07-15,OTHER,ROLE_STUDENT,b39eab4f-6b26-4e63-97ba-fcd698d6bd77,1.43
donald.stewart92@gmail.com,Donald,Stewart,1975-02-03,OTHER,ROLE_STUDENT,c808bc5a-39be-413d-8275-90256594509e,0.71
ryan.stewart93@gmail.com,Ryan,Stewart,1970-06-09,OTHER,ROLE_STUDENT,b4d86af9-f418-4bb5-8917-66add6976832,3.7
jessica.evans94@outlook.com,Jessica,Evans,1989-04-07,FEMALE,ROLE_STUDENT,1aebae75-dc2e-4d89-b661-71af4b0ec223,0.61
anthony.garcia95@proton.me,Anthony,Garcia,2003-06-28,FEMALE,ROLE_SECRETARY,df613b56-ff19-4c6c-825b-f3c72407bc93,
paul.martin96@email.com,Paul,Martin,1982-04-13,MALE,ROLE_SECRETARY,35f5bae4-833c-453d-a6a6-fdc8b2bf1d7c,
edward.taylor97@outlook.com,Edward,Taylor,1981-10-17,FEMALE,ROLE_STUDENT,d2db1a71-2cfc-4921-8e81-268931dc875c,2.28
john.mitchell98@yahoo.com,John,Mitchell,1997-07-03,OTHER,ROLE_STUDENT,7aee2745-14ca-4765-8744-cd823b07fe12,3.81
joshua.mitchell99@mail.com,Joshua,Mitchell,2000-05-14,FEMALE,ROLE_STUDENT,37bf7424-ff6b-402f-a9d7-c89d313a1294,0.08
